Sale_ID,Date,Brand,Product_Type,Country,Sales_Channel,Payment_Method,Price_USD,Units_Sold,Revenue_USD
115,2025-05-30,NARS,Eyeshadow,Canada,Retail Store,Card,63.52,18,1143.36
116,2025-10-10,MAC,Lipstick,India,Beauty Salon,Card,21.63,13,281.19
117,2025-09-17,Fenty Beauty,Blush,Canada,Retail Store,Card,35.72,1,35.72
118,2025-10-03,NARS,Eyeshadow,France,Retail Store,Digital Wallet,60.7,22,1335.4
119,2025-05-03,NARS,Foundation,France,Beauty Salon,Digital Wallet,70.76,15,1061.4
120,2025-07-15,MAC,Eyeshadow,USA,Retail Store,Digital Wallet,49.4,43,2124.2
121,2025-10-30,Estee Lauder,Lipstick,Canada,Online,Digital Wallet,43.18,7,302.26
122,2025-03-15,MAC,Lipstick,Canada,Mall,Card,52.15,42,2190.3
123,2025-11-16,L'Oreal,Concealer,Germany,Mall,Digital Wallet,84.66,42,3555.72
124,2025-09-07,L'Oreal,Eyeliner,India,Retail Store,Digital Wallet,105.32,3,315.96
125,2025-02-16,L'Oreal,Eyeshadow,Saudi Arabia,Mall,Cash,54.91,7,384.37
126,2025-01-24,Fenty Beauty,Concealer,France,Beauty Salon,Cash,42.3,4,169.2
127,2025-05-06,MAC,Mascara,Saudi Arabia,Online,Digital Wallet,66.08,37,2444.96
128,2025-07-15,Estee Lauder,Mascara,UAE,Beauty Salon,Digital Wallet,76.27,16,1220.32
129,2025-05-11,Maybelline,Eyeshadow,India,Retail Store,Cash,57.85,43,2487.55
130,2025-08-15,Fenty Beauty,Highlighter,India,Beauty Salon,Card,113.7,38,4320.6
131,2025-04-12,L'Oreal,Eyeliner,Germany,Mall,Digital Wallet,119.93,31,3717.83
132,2025-06-01,Maybelline,Highlighter,India,Online,Digital Wallet,119.16,19,2264.04
133,2025-12-18,Estee Lauder,Blush,UAE,Mall,Cash,94.51,4,378.04
134,2025-11-22,MAC,Lipstick,USA,Mall,Card,26.87,17,456.79
135,2025-01-18,MAC,Lipstick,India,Mall,Digital Wallet,71.65,47,3367.55
136,2025-08-01,Dior,Blush,Saudi Arabia,Mall,Card,25.2,9,226.8
137,2025-06-01,L'Oreal,Eyeshadow,UK,Retail Store,Cash,90.85,22,1998.7
138,2025-12-13,Dior,Lipstick,Germany,Online,Card,88.28,26,2295.28
139,2025-10-02,Fenty Beauty,Highlighter,France,Online,Digital Wallet,19.21,24,461.04
140,2025-04-30,Dior,Eyeliner,UK,Beauty Salon,Digital Wallet,59.22,40,2368.8
141,2025-06-04,MAC,Foundation,USA,Mall,Card,79.66,8,637.28
142,2025-03-01,MAC,Highlighter,Canada,Mall,Digital Wallet,16.18,35,566.3
143,2025-12-23,MAC,Highlighter,UK,Beauty Salon,Digital Wallet,113.79,27,3072.33
144,2025-07-28,Maybelline,Concealer,UAE,Beauty Salon,Card,112.99,18,2033.82
145,2025-05-01,Dior,Concealer,USA,Beauty Salon,Card,103.38,7,723.66
146,2025-04-08,L'Oreal,Eyeliner,USA,Online,Card,116.34,30,3490.2
147,2025-05-05,Huda Beauty,Lipstick,UAE,Retail Store,Cash,118.71,37,4392.27
148,2025-06-18,Maybelline,Blush,Saudi Arabia,Retail Store,Digital Wallet,94.05,39,3667.95
149,2025-05-09,Maybelline,Mascara,USA,Mall,Cash,96.83,8,774.64
150,2025-10-29,Fenty Beauty,Foundation,Saudi Arabia,Beauty Salon,Digital Wallet,42.23,12,506.76
151,2025-02-28,Estee Lauder,Concealer,UK,Beauty Salon,Digital Wallet,90.75,31,2813.25
152,2025-04-24,Fenty Beauty,Eyeshadow,USA,Online,Card,113.72,3,341.16
153,2025-07-25,Estee Lauder,Eyeshadow,UK,Online,Card,54.02,7,378.14
154,2025-11-08,Fenty Beauty,Concealer,Germany,Mall,Card,22.06,9,198.54
155,2025-09-16,L'Oreal,Eyeliner,Germany,Beauty Salon,Cash,74.62,7,522.34
156,2025-07-31,NARS,Highlighter,UK,Mall,Card,43.98,30,1319.4
157,2025-06-10,MAC,Eyeshadow,UK,Online,Cash,81.49,24,1955.76
158,2025-02-17,Dior,Mascara,USA,Mall,Digital Wallet,54.67,48,2624.16
159,2025-03-04,NARS,Foundation,India,Mall,Card,52.24,43,2246.32
160,2025-02-23,MAC,Eyeshadow,UAE,Online,Card,71.46,14,1000.44
161,2025-10-12,Fenty Beauty,Eyeliner,Germany,Online,Digital Wallet,47.27,49,2316.23
162,2025-12-03,Maybelline,Mascara,India,Mall,Card,100.39,18,1807.02
163,2025-06-29,NARS,Lipstick,Saudi Arabia,Online,Cash,5.7,10,57.0
164,2025-09-29,Estee Lauder,Concealer,Saudi Arabia,Mall,Card,29.74,27,802.98
165,2025-06-16,L'Oreal,Foundation,Saudi Arabia,Retail Store,Digital Wallet,94.34,37,3490.58
166,2025-01-26,Estee Lauder,Highlighter,Canada,Beauty Salon,Card,82.51,18,1485.18
167,2025-05-20,L'Oreal,Concealer,Germany,Online,Card,29.79,33,983.07
168,2025-12-14,Fenty Beauty,Foundation,UAE,Beauty Salon,Digital Wallet,83.03,32,2656.96
169,2025-01-29,Huda Beauty,Mascara,India,Mall,Card,5.88,20,117.6
170,2025-03-03,NARS,Mascara,Saudi Arabia,Beauty Salon,Digital Wallet,5.89,48,282.72
171,2025-12-27,Dior,Lipstick,Germany,Online,Card,31.46,36,1132.56
172,2025-01-10,Dior,Highlighter,Germany,Beauty Salon,Card,57.87,5,289.35
173,2025-02-28,MAC,Eyeshadow,France,Online,Card,51.58,21,1083.18
174,2025-02-24,NARS,Lipstick,Germany,Mall,Digital Wallet,32.98,38,1253.24
175,2025-06-23,MAC,Lipstick,UK,Retail Store,Card,30.48,50,1524.0
176,2025-06-29,MAC,Eyeliner,UK,Retail Store,Card,88.65,42,3723.3
177,2025-04-12,L'Oreal,Mascara,Canada,Beauty Salon,Digital Wallet,24.95,10,249.5
178,2025-10-24,Dior,Concealer,Saudi Arabia,Beauty Salon,Cash,56.62,37,2094.94
179,2025-08-29,Fenty Beauty,Foundation,France,Online,Card,55.85,20,1117.0
180,2025-08-25,Dior,Blush,UK,Online,Digital Wallet,56.97,4,227.88
181,2025-11-01,Maybelline,Eyeshadow,UAE,Mall,Digital Wallet,63.31,30,1899.3
182,2025-09-01,Estee Lauder,Lipstick,France,Online,Digital Wallet,62.66,4,250.64
183,2025-11-27,Estee Lauder,Eyeshadow,Saudi Arabia,Mall,Card,24.84,16,397.44
184,2025-05-25,Dior,Foundation,France,Online,Card,49.55,50,2477.5
185,2025-02-18,Fenty Beauty,Blush,Saudi Arabia,Mall,Cash,69.17,25,1729.25
186,2025-10-26,Fenty Beauty,Highlighter,Saudi Arabia,Online,Card,81.32,23,1870.36
187,2025-10-14,MAC,Lipstick,Germany,Mall,Cash,48.32,22,1063.04
188,2025-07-05,Dior,Eyeshadow,UAE,Retail Store,Cash,40.52,14,567.28
189,2025-03-21,Maybelline,Concealer,Saudi Arabia,Beauty Salon,Cash,13.87,7,97.09
190,2025-03-25,MAC,Eyeshadow,USA,Beauty Salon,Card,25.8,45,1161.0
191,2025-12-13,Fenty Beauty,Eyeshadow,UAE,Retail Store,Card,87.75,29,2544.75
192,2025-08-29,Dior,Eyeshadow,Canada,Mall,Card,108.96,13,1416.48
193,2025-09-15,Huda Beauty,Mascara,India,Online,Digital Wallet,65.66,11,722.26
194,2025-09-04,L'Oreal,Lipstick,India,Online,Cash,105.52,36,3798.72
195,2025-05-20,MAC,Highlighter,UK,Retail Store,Card,56.67,33,1870.11
196,2025-06-28,Maybelline,Highlighter,France,Retail Store,Card,112.0,27,3024.0
197,2025-02-11,Dior,Lipstick,France,Retail Store,Cash,48.11,2,96.22
198,2025-01-20,MAC,Eyeshadow,Canada,Online,Cash,37.99,31,1177.69
199,2025-01-10,NARS,Lipstick,India,Retail Store,Card,34.43,10,344.3
200,2025-03-04,Estee Lauder,Lipstick,UK,Beauty Salon,Digital Wallet,10.49,27,283.23
201,2025-10-02,Huda Beauty,Mascara,India,Beauty Salon,Cash,6.89,33,227.37
202,2025-11-11,NARS,Mascara,UK,Mall,Cash,45.57,37,1686.09
203,2025-09-27,Maybelline,Highlighter,Canada,Online,Digital Wallet,67.57,33,2229.81
204,2025-07-18,Maybelline,Concealer,UK,Mall,Cash,117.82,17,2002.94
205,2025-12-03,Dior,Mascara,USA,Mall,Digital Wallet,77.25,50,3862.5
206,2025-06-23,Estee Lauder,Eyeshadow,Saudi Arabia,Retail Store,Cash,98.55,12,1182.6
207,2025-08-23,Maybelline,Eyeliner,USA,Mall,Card,9.25,13,120.25
208,2025-09-21,Estee Lauder,Blush,USA,Retail Store,Card,50.8,35,1778.0
209,2025-07-02,Dior,Blush,UK,Mall,Card,104.15,4,416.6
210,2025-07-24,Dior,Mascara,Canada,Beauty Salon,Card,90.48,25,2262.0
211,2025-09-23,NARS,Lipstick,Germany,Retail Store,Digital Wallet,35.67,6,214.02
212,2025-05-31,Dior,Blush,India,Beauty Salon,Digital Wallet,41.94,6,251.64
213,2025-08-07,Dior,Eyeshadow,USA,Mall,Digital Wallet,24.16,29,700.64
214,2025-08-11,L'Oreal,Highlighter,France,Retail Store,Cash,36.57,4,146.28
215,2025-03-15,Estee Lauder,Foundation,Saudi Arabia,Online,Cash,102.6,44,4514.4
216,2025-11-27,Maybelline,Mascara,Canada,Mall,Card,47.13,25,1178.25
217,2025-08-16,MAC,Concealer,Germany,Mall,Digital Wallet,92.75,37,3431.75
218,2025-05-23,Maybelline,Mascara,Canada,Beauty Salon,Digital Wallet,33.71,8,269.68
219,2025-03-02,Estee Lauder,Eyeliner,India,Beauty Salon,Cash,35.1,17,596.7
220,2025-03-04,Estee Lauder,Mascara,Canada,Online,Digital Wallet,20.61,5,103.05
221,2025-06-13,L'Oreal,Blush,India,Retail Store,Digital Wallet,81.8,46,3762.8
222,2025-12-30,MAC,Concealer,UAE,Online,Cash,111.64,41,4577.24
223,2025-03-13,Maybelline,Concealer,France,Beauty Salon,Digital Wallet,32.22,32,1031.04
224,2025-03-08,L'Oreal,Blush,Germany,Beauty Salon,Digital Wallet,75.37,6,452.22
225,2025-07-30,L'Oreal,Mascara,France,Online,Card,93.45,37,3457.65
226,2025-08-27,MAC,Mascara,Saudi Arabia,Beauty Salon,Digital Wallet,83.21,23,1913.83
227,2025-01-29,MAC,Blush,Saudi Arabia,Retail Store,Card,100.61,34,3420.74
228,2025-12-30,Fenty Beauty,Lipstick,India,Retail Store,Digital Wallet,30.93,34,1051.62
229,2025-10-10,Fenty Beauty,Lipstick,Saudi Arabia,Retail Store,Cash,36.56,41,1498.96
230,2025-12-04,Dior,Foundation,USA,Online,Cash,76.82,39,2995.98
231,2025-11-25,Huda Beauty,Highlighter,USA,Beauty Salon,Digital Wallet,93.67,17,1592.39
232,2025-10-07,Estee Lauder,Eyeliner,Germany,Mall,Card,38.31,20,766.2
233,2025-02-07,Estee Lauder,Highlighter,Canada,Beauty Salon,Cash,84.19,11,926.09
234,2025-06-24,Dior,Concealer,Germany,Retail Store,Card,74.77,21,1570.17
235,2025-09-21,Huda Beauty,Eyeshadow,UK,Mall,Card,69.59,21,1461.39
236,2025-05-07,Fenty Beauty,Highlighter,Germany,Retail Store,Cash,21.2,4,84.8
237,2025-06-17,Dior,Eyeliner,Saudi Arabia,Beauty Salon,Digital Wallet,112.38,47,5281.86
238,2025-08-28,Estee Lauder,Foundation,UK,Beauty Salon,Digital Wallet,62.36,20,1247.2
239,2025-08-23,Dior,Foundation,USA,Mall,Card,116.17,14,1626.38
240,2025-11-02,Estee Lauder,Blush,USA,Online,Card,106.47,42,4471.74
241,2025-03-10,Dior,Highlighter,France,Online,Card,106.48,47,5004.56
242,2025-01-27,Dior,Blush,UK,Beauty Salon,Digital Wallet,70.58,13,917.54
243,2025-08-19,L'Oreal,Mascara,UK,Beauty Salon,Card,92.91,18,1672.38
244,2025-06-23,MAC,Eyeliner,Germany,Online,Cash,69.15,24,1659.6
245,2025-01-20,Estee Lauder,Eyeshadow,Saudi Arabia,Retail Store,Card,20.76,22,456.72
246,2025-11-10,Fenty Beauty,Concealer,Canada,Mall,Card,41.63,26,1082.38
247,2025-01-09,L'Oreal,Highlighter,India,Online,Digital Wallet,47.36,44,2083.84
248,2025-08-31,Huda Beauty,Foundation,Canada,Retail Store,Digital Wallet,35.54,42,1492.68
249,2025-11-19,NARS,Mascara,UAE,Online,Digital Wallet,87.94,50,4397.0
250,2025-12-25,Estee Lauder,Concealer,Germany,Retail Store,Card,17.64,2,35.28
251,2025-12-20,Estee Lauder,Foundation,Saudi Arabia,Retail Store,Digital Wallet,28.45,33,938.85
252,2025-06-16,NARS,Concealer,Saudi Arabia,Beauty Salon,Digital Wallet,119.78,31,3713.18
253,2025-06-25,Fenty Beauty,Eyeshadow,UAE,Retail Store,Card,67.82,44,2984.08
254,2025-10-13,Fenty Beauty,Eyeliner,Canada,Mall,Card,39.33,20,786.6
255,2025-06-28,Fenty Beauty,Blush,UK,Beauty Salon,Card,69.46,47,3264.62
256,2025-06-26,Fenty Beauty,Foundation,India,Online,Card,114.78,10,1147.8
257,2025-08-15,Estee Lauder,Eyeliner,UAE,Mall,Digital Wallet,80.44,48,3861.12
258,2025-12-23,Huda Beauty,Eyeliner,USA,Retail Store,Digital Wallet,36.24,7,253.68
259,2025-04-30,Dior,Eyeshadow,UK,Retail Store,Cash,11.04,27,298.08
260,2025-10-09,NARS,Eyeshadow,Canada,Retail Store,Card,117.46,11,1292.06
261,2025-06-14,L'Oreal,Eyeliner,USA,Retail Store,Card,37.82,4,151.28
262,2025-04-01,NARS,Eyeshadow,Saudi Arabia,Mall,Cash,112.4,3,337.2
263,2025-01-05,L'Oreal,Concealer,India,Beauty Salon,Digital Wallet,39.32,39,1533.48
264,2025-10-06,Estee Lauder,Blush,UAE,Online,Card,65.3,9,587.7
265,2025-03-25,Fenty Beauty,Mascara,USA,Mall,Card,89.08,42,3741.36
266,2025-10-18,MAC,Highlighter,Germany,Mall,Cash,82.56,13,1073.28
267,2025-07-25,MAC,Eyeshadow,France,Retail Store,Cash,81.96,12,983.52
268,2025-05-14,Fenty Beauty,Concealer,India,Online,Card,49.11,29,1424.19
269,2025-12-01,Maybelline,Lipstick,Canada,Mall,Cash,46.35,16,741.6
270,2025-07-27,Fenty Beauty,Lipstick,India,Mall,Digital Wallet,83.9,46,3859.4
271,2025-04-24,Estee Lauder,Mascara,Canada,Mall,Card,30.2,9,271.8
272,2025-12-26,Huda Beauty,Eyeliner,UK,Beauty Salon,Digital Wallet,68.16,31,2112.96
273,2025-12-27,L'Oreal,Foundation,UAE,Retail Store,Cash,46.61,37,1724.57
274,2025-06-17,L'Oreal,Eyeliner,Canada,Online,Digital Wallet,103.27,29,2994.83
275,2025-08-17,MAC,Highlighter,Canada,Online,Digital Wallet,98.0,30,2940.0
276,2025-08-25,Maybelline,Highlighter,India,Online,Digital Wallet,82.37,20,1647.4
277,2025-04-22,NARS,Concealer,UK,Online,Cash,71.51,3,214.53
278,2025-08-30,MAC,Mascara,Germany,Mall,Card,8.65,27,233.55
279,2025-08-18,NARS,Lipstick,Saudi Arabia,Mall,Cash,105.01,25,2625.25
280,2025-04-02,MAC,Eyeliner,USA,Online,Card,119.18,26,3098.68
281,2025-08-26,NARS,Highlighter,UAE,Retail Store,Card,82.45,35,2885.75
282,2025-06-27,L'Oreal,Foundation,Germany,Online,Cash,22.84,13,296.92
283,2025-04-16,Maybelline,Eyeshadow,USA,Retail Store,Digital Wallet,12.74,39,496.86
284,2025-01-23,Huda Beauty,Foundation,Saudi Arabia,Mall,Cash,51.26,15,768.9
285,2025-10-22,Dior,Eyeliner,India,Retail Store,Digital Wallet,41.67,39,1625.13
286,2025-09-24,Fenty Beauty,Foundation,Saudi Arabia,Beauty Salon,Digital Wallet,30.42,20,608.4
287,2025-09-11,NARS,Concealer,Germany,Beauty Salon,Cash,10.39,23,238.97
288,2025-06-03,Estee Lauder,Eyeliner,UAE,Mall,Digital Wallet,48.29,49,2366.21
289,2025-03-15,NARS,Highlighter,Saudi Arabia,Beauty Salon,Cash,97.66,4,390.64
290,2025-05-11,L'Oreal,Eyeshadow,France,Online,Digital Wallet,28.38,42,1191.96
291,2025-04-08,Maybelline,Lipstick,UAE,Retail Store,Card,10.93,25,273.25
292,2025-04-17,Fenty Beauty,Foundation,UAE,Retail Store,Digital Wallet,104.99,22,2309.78
293,2025-03-02,Estee Lauder,Eyeliner,UAE,Beauty Salon,Cash,90.89,49,4453.61
294,2025-10-10,NARS,Eyeshadow,France,Mall,Card,41.99,19,797.81
295,2025-07-04,Estee Lauder,Lipstick,Canada,Mall,Cash,63.97,32,2047.04
296,2025-07-09,Huda Beauty,Mascara,USA,Mall,Digital Wallet,40.99,3,122.97
297,2025-10-27,Fenty Beauty,Mascara,UAE,Mall,Cash,71.6,27,1933.2
298,2025-07-14,Estee Lauder,Concealer,India,Beauty Salon,Digital Wallet,70.53,16,1128.48
299,2025-11-25,MAC,Concealer,Saudi Arabia,Retail Store,Digital Wallet,90.05,30,2701.5
300,2025-10-07,Maybelline,Foundation,UK,Online,Cash,61.16,35,2140.6
301,2025-07-31,Huda Beauty,Lipstick,Saudi Arabia,Online,Cash,20.81,41,853.21
